MASV,HOTEN,PHAI,NGSINH,DCHI,DT,KHOA,TINHTRANG
"20A943847","Trần Hữu Phúc","1","2002-04-22","Q.5, TP.HCM","0161612624","VATLY","Đang học"
"20A570162","Đặng Anh Hà","1","2007-04-05","TP. Đà Nẵng","0998988371","VATLY","Đã thôi học"
"20A223713","Lê Minh An","1","2001-11-07","Q.10, TP.HCM","0743492831","CNTT","Đang học"
"20A656637","Phan Gia Vy","1","2004-05-27","TP. Thủ Đức","0851440326","TOAN","Đã thôi học"
"20A986718","Vũ Anh Dũng","0","2003-03-22","TP. Cần Thơ","0564930752","KHKT","Đã tốt nghiệp"
"20A356467","Trần Anh Bình","1","2001-08-25","Q.10, TP.HCM","0171911853","HOA","Đã thôi học"
"20A581880","Bùi Minh Dũng","1","2005-07-28","Q.1, TP.HCM","0644677759","SINH","Bảo lưu kết quả học tập"
"20A856748","Phạm Gia Vy","0","2003-11-18","Q.3, TP.HCM","0221854814","SINH","Đang học"
"20A510391","Phạm Anh Hà","1","2003-06-09","TP. Đà Nẵng","0371258589","SINH","Đã thôi học"
"20A466184","Phan Thị Tú","1","2002-01-16","TP. Cần Thơ","0357250514","CNTT","Đang học"
"20A267785","Trần Gia Khánh","0","2005-01-06","TP. Biên Hòa","0565917633","KHKT","Bảo lưu kết quả học tập"
"20A586875","Phạm Thị Hà","0","2004-11-13","TP. Đà Nẵng","0878992892","SINH","Đã thôi học"
"20A566140","Đặng Ngọc Bình","1","2002-03-08","TP. Hà Nội","0740550866","VATLY","Đã thôi học"
"20A259733","Trần Ngọc Bình","0","2004-06-04","TP. Biên Hòa","0303976320","VATLY","Đã thôi học"
"20A270459","Lê Minh Linh","1","2001-06-26","Q.10, TP.HCM","0779482301","SINH","Đã tốt nghiệp"
"20A312736","Bùi Ngọc Hà","0","2000-10-12","Q.5, TP.HCM","0428465701","KHKT","Bảo lưu kết quả học tập"
"20A585824","Lê Thị Linh","0","2001-04-16","TP. Thủ Đức","0708980751","CNTT","Đã tốt nghiệp"
"20A138839","Đặng Anh An","0","2002-02-07","TP. Cần Thơ","0798808251","HOA","Bảo lưu kết quả học tập"
"20A882412","Trần Hữu Nam","1","2004-12-03","TP. Thủ Đức","0926763981","VATLY","Đã thôi học"
"20A695157","Trần Thị Phúc","0","2001-11-21","Q.1, TP.HCM","0581016233","VATLY","Đã tốt nghiệp"
"20A550637","Trần Gia Vy","1","2003-07-03","Q.1, TP.HCM","0139470412","HOA","Đang học"
"20A114210","Phan Hữu Linh","1","2006-06-26","Q.3, TP.HCM","0754090045","SINH","Đã tốt nghiệp"
"20A510189","Lê Thị An","0","2007-01-12","TP. Hà Nội","0816246585","SINH","Đã tốt nghiệp"
"20A939766","Phan Thị Tú","1","2000-05-14","Q.3, TP.HCM","0620623346","CNTT","Bảo lưu kết quả học tập"
"20A819112","Lê Ngọc Dũng","0","2001-01-25","Q.3, TP.HCM","0559647795","VATLY","Đang học"
"20A363438","Lê Minh Hương","1","2005-03-31","TP. Hà Nội","0277797276","VATLY","Bảo lưu kết quả học tập"
"20A271836","Phạm Hữu Hương","1","2000-04-28","TP. Vũng Tàu","0834226917","CNTT","Đã thôi học"
"20A781197","Lê Anh Hương","0","2004-03-02","TP. Cần Thơ","0948981717","CNTT","Đã tốt nghiệp"
"20A299936","Lê Minh Quân","0","2002-02-22","Q.1, TP.HCM","0936135080","KHKT","Đã thôi học"
"20A579338","Nguyễn Gia Vy","0","2000-08-12","TP. Biên Hòa","0564827927","HOA","Đang học"
"20A850406","Lê Hữu Dũng","0","2004-12-13","Q.3, TP.HCM","0322852309","KHKT","Đã thôi học"
"20A821083","Vũ Văn Trang","0","2002-03-01","Q.1, TP.HCM","0447385372","CNTT","Đang học"
"20A746329","Vũ Hữu Vy","1","2005-11-23","TP. Thủ Đức","0325580566","VATLY","Đã tốt nghiệp"
"20A432138","Nguyễn Minh Quân","1","2006-05-13","Q.3, TP.HCM","0395473619","HOA","Đã thôi học"
"20A721263","Trần Anh Quân","0","2002-07-09","TP. Thủ Đức","0974772585","KHKT","Đã thôi học"
"20A665316","Nguyễn Văn Hương","1","2001-07-19","TP. Thủ Đức","0839196719","TOAN","Đã tốt nghiệp"
"20A620062","Trần Hữu Châu","1","2000-07-14","TP. Cần Thơ","0794322346","SINH","Đã tốt nghiệp"
"20A261308","Hoàng Văn Dũng","0","2001-07-26","TP. Biên Hòa","0213870770","HOA","Đã thôi học"
"20A925367","Bùi Anh Vy","0","2004-06-16","Q.5, TP.HCM","0771960427","VATLY","Đã thôi học"
"20A185316","Phạm Văn Khánh","0","2000-06-02","TP. Vũng Tàu","0326494287","KHKT","Bảo lưu kết quả học tập"
"20A293548","Phạm Anh Dũng","1","2005-06-15","Q.5, TP.HCM","0375339695","HOA","Đang học"
"20A194838","Nguyễn Thị Bình","1","2006-07-06","Q.10, TP.HCM","0642105442","HOA","Đang học"
"20A855199","Lê Anh Vy","1","2005-11-02","TP. Biên Hòa","0456979714","TOAN","Đã thôi học"
"20A742019","Trần Minh An","0","2006-02-02","TP. Cần Thơ","0743163402","VATLY","Đã tốt nghiệp"
"20A647908","Phạm Gia Hà","1","2004-08-03","TP. Cần Thơ","0171474534","VATLY","Bảo lưu kết quả học tập"
"20A334821","Bùi Gia Khánh","0","2006-01-20","TP. Đà Nẵng","0344751140","VATLY","Bảo lưu kết quả học tập"
"20A829324","Vũ Hữu Nam","0","2004-01-29","Q.3, TP.HCM","0210598510","HOA","Đã thôi học"
"20A467883","Đặng Anh Quân","1","2003-05-18","TP. Cần Thơ","0180238676","SINH","Đã tốt nghiệp"
"20A544744","Bùi Anh An","0","2006-06-02","Q.1, TP.HCM","0287211051","CNTT","Bảo lưu kết quả học tập"
"20A482623","Lê Minh Phúc","0","2005-12-17","TP. Cần Thơ","0479741027","VATLY","Đã thôi học"
"20A952714","Bùi Hữu Vy","0","2005-12-09","TP. Biên Hòa","0664720417","VATLY","Đã tốt nghiệp"
"20A709210","Vũ Thị Khánh","0","2005-09-03","Q.5, TP.HCM","0541489654","SINH","Đã thôi học"
"20A529893","Đặng Gia Quân","0","2004-11-16","TP. Cần Thơ","0238086602","CNTT","Đang học"
"20A524819","Nguyễn Văn Hà","0","2003-11-08","Q.10, TP.HCM","0734384423","HOA","Đã thôi học"
"20A612560","Phan Văn Phúc","0","2000-05-18","TP. Hà Nội","0308233378","SINH","Bảo lưu kết quả học tập"
"20A214649","Trần Minh Châu","0","2001-08-09","Q.10, TP.HCM","0326866784","CNTT","Đã tốt nghiệp"
"20A836627","Phan Gia Khánh","0","2003-02-23","TP. Thủ Đức","0215452695","SINH","Đang học"
"20A345032","Nguyễn Minh Khánh","1","2005-08-04","Q.3, TP.HCM","0640140876","CNTT","Đã thôi học"
"20A128047","Phan Gia Tú","0","2006-11-20","TP. Biên Hòa","0982248541","TOAN","Đang học"
"20A157514","Đặng Thị Trang","1","2002-05-17","TP. Vũng Tàu","0865129860","TOAN","Đang học"
"20A747944","Nguyễn Hữu Trang","1","2001-06-15","TP. Cần Thơ","0141226964","SINH","Đã tốt nghiệp"
"20A256446","Trần Minh An","1","2004-04-29","TP. Hà Nội","0443706892","SINH","Đã tốt nghiệp"
"20A471723","Phạm Gia Vy","1","2002-12-31","Q.3, TP.HCM","0457266747","KHKT","Đã tốt nghiệp"
"20A674983","Phan Gia Khánh","1","2002-11-21","Q.1, TP.HCM","0365921564","TOAN","Đã tốt nghiệp"
"20A641815","Vũ Văn Dũng","1","2003-09-03","TP. Cần Thơ","0174226553","TOAN","Bảo lưu kết quả học tập"
"20A706861","Trần Ngọc Hương","0","2004-12-23","TP. Vũng Tàu","0915591021","CNTT","Đã thôi học"
"20A893174","Lê Ngọc Bình","0","2003-09-01","TP. Hà Nội","0233221611","TOAN","Đã thôi học"
"20A746059","Vũ Minh Hương","1","2006-02-10","Q.5, TP.HCM","0425984861","KHKT","Đã thôi học"
"20A803439","Đặng Anh Bình","0","2000-08-11","Q.10, TP.HCM","0508658523","HOA","Bảo lưu kết quả học tập"
"20A158354","Đặng Văn Nam","0","2000-12-12","TP. Cần Thơ","0102537324","HOA","Đã tốt nghiệp"
"20A813361","Hoàng Ngọc Phúc","1","2000-12-27","TP. Thủ Đức","0570349645","CNTT","Đang học"
"20A353697","Phạm Minh Châu","0","2001-11-03","TP. Hà Nội","0321221460","HOA","Đã thôi học"
"20A682041","Vũ Gia Hương","0","2000-10-19","TP. Vũng Tàu","0621249748","TOAN","Đã tốt nghiệp"
"20A930128","Lê Anh Hà","0","2004-09-06","Q.10, TP.HCM","0236928686","VATLY","Đã tốt nghiệp"
"20A157965","Bùi Văn Châu","0","2001-05-11","Q.5, TP.HCM","0428003106","VATLY","Đang học"
"20A746627","Nguyễn Gia Dũng","1","2003-12-04","TP. Đà Nẵng","0305745594","HOA","Đã thôi học"
"20A196716","Phạm Gia Linh","1","2004-05-28","TP. Hà Nội","0720104435","KHKT","Đã thôi học"
"20A512028","Lê Gia Châu","0","2005-06-20","Q.1, TP.HCM","0821218895","VATLY","Bảo lưu kết quả học tập"
"20A337499","Phạm Minh Hà","0","2001-12-22","TP. Cần Thơ","0362846364","KHKT","Đang học"
"20A156657","Phạm Gia Khánh","0","2006-11-18","Q.3, TP.HCM","0483422185","SINH","Đã thôi học"
"20A668057","Đặng Minh Nam","0","2005-11-18","TP. Cần Thơ","0346768575","HOA","Bảo lưu kết quả học tập"
"20A839580","Nguyễn Minh Hương","0","2001-04-19","TP. Hà Nội","0774637734","TOAN","Đã thôi học"
"20A735643","Phan Thị Vy","0","2004-12-14","TP. Thủ Đức","0791981185","KHKT","Đang học"
"20A778903","Nguyễn Hữu Nam","0","2002-08-09","TP. Thủ Đức","0368465278","SINH","Đang học"
"20A613980","Vũ Văn Nam","0","2007-01-06","Q.3, TP.HCM","0398270425","SINH","Bảo lưu kết quả học tập"
"20A220280","Bùi Ngọc Quân","1","2002-11-01","TP. Biên Hòa","0926040906","SINH","Đã thôi học"
"20A117712","Nguyễn Hữu Tú","1","2002-04-04","Q.1, TP.HCM","0733327764","SINH","Đã thôi học"
"20A268151","Trần Anh Nam","0","2002-02-22","Q.10, TP.HCM","0154452884","VATLY","Đã thôi học"
"20A469551","Lê Ngọc Phúc","1","2006-02-15","TP. Đà Nẵng","0762081258","TOAN","Bảo lưu kết quả học tập"
"20A441548","Phạm Hữu Châu","0","2000-12-20","Q.1, TP.HCM","0503143128","KHKT","Bảo lưu kết quả học tập"
"20A150654","Hoàng Ngọc Khánh","1","2005-10-14","TP. Vũng Tàu","0161634132","VATLY","Đã tốt nghiệp"
"20A405620","Lê Anh Nam","0","2005-09-12","TP. Vũng Tàu","0179634357","VATLY","Đang học"
"20A229544","Bùi Anh Phúc","1","2004-12-18","TP. Đà Nẵng","0340498208","TOAN","Đang học"
"20A649555","Bùi Minh Hương","0","2005-08-26","TP. Cần Thơ","0967299490","SINH","Đã tốt nghiệp"
"20A878774","Phan Minh Tú","0","2000-09-15","TP. Hà Nội","0136388334","KHKT","Đã tốt nghiệp"
"20A693876","Bùi Minh Hương","1","2001-07-02","TP. Hà Nội","0325313312","TOAN","Đang học"
"20A527390","Bùi Minh Nam","1","2001-08-30","Q.1, TP.HCM","0916946320","SINH","Đang học"
"20A740652","Nguyễn Văn Dũng","0","2004-03-28","Q.1, TP.HCM","0376157015","CNTT","Bảo lưu kết quả học tập"
"20A905645","Lê Anh Châu","0","2001-09-18","TP. Đà Nẵng","0138907633","HOA","Đang học"
"20A270410","Hoàng Văn Hương","0","2003-06-18","Q.3, TP.HCM","0660711408","TOAN","Đã tốt nghiệp"
"20A131065","Lê Ngọc Bình","0","2007-01-05","Q.10, TP.HCM","0971729627","TOAN","Đã thôi học"
"20A661054","Phan Văn Nam","0","2003-01-19","TP. Đà Nẵng","0607896307","HOA","Đã tốt nghiệp"
"20A569570","Bùi Minh Dũng","1","2005-01-30","TP. Hà Nội","0803848025","HOA","Bảo lưu kết quả học tập"
"20A719384","Nguyễn Hữu Linh","1","2003-04-25","TP. Cần Thơ","0523379417","KHKT","Đã tốt nghiệp"
"20A736766","Đặng Thị Trang","1","2004-06-21","Q.5, TP.HCM","0880024741","HOA","Đã tốt nghiệp"
"20A423602","Phạm Anh Hương","1","2000-08-27","Q.3, TP.HCM","0444052086","SINH","Đã thôi học"
"20A848765","Phan Anh Hà","1","2001-01-05","TP. Biên Hòa","0941920329","KHKT","Đã tốt nghiệp"
"20A750987","Phạm Minh Hương","1","2002-04-17","TP. Biên Hòa","0451761314","VATLY","Đang học"
"20A164513","Phạm Thị Trang","0","2004-12-25","TP. Biên Hòa","0506609336","TOAN","Bảo lưu kết quả học tập"
"20A576200","Hoàng Minh Nam","1","2005-05-09","TP. Thủ Đức","0200460293","VATLY","Bảo lưu kết quả học tập"
"20A420771","Phạm Minh An","1","2007-04-09","TP. Đà Nẵng","0222883084","KHKT","Đang học"
"20A736055","Trần Văn Vy","0","2002-12-30","TP. Đà Nẵng","0382789460","HOA","Đã thôi học"
"20A275503","Phan Thị Linh","0","2006-10-08","TP. Vũng Tàu","0693135751","HOA","Đã thôi học"
"20A299398","Lê Hữu Hà","0","2005-11-06","Q.10, TP.HCM","0849921054","TOAN","Bảo lưu kết quả học tập"
"20A417235","Vũ Gia Châu","1","2002-09-11","TP. Vũng Tàu","0438705783","TOAN","Bảo lưu kết quả học tập"
"20A291462","Phạm Ngọc An","1","2002-05-21","Q.10, TP.HCM","0922092700","VATLY","Đã thôi học"
"20A620177","Đặng Văn An","0","2003-12-04","TP. Thủ Đức","0542968193","HOA","Đã thôi học"
"20A408970","Lê Văn Hương","0","2006-05-21","TP. Hà Nội","0107786553","HOA","Đang học"
"20A609513","Bùi Ngọc Dũng","1","2001-06-29","TP. Biên Hòa","0126075542","VATLY","Bảo lưu kết quả học tập"
"20A856886","Bùi Minh Bình","1","2002-12-06","Q.3, TP.HCM","0106161602","VATLY","Bảo lưu kết quả học tập"
"20A408696","Lê Minh Quân","1","2003-07-05","Q.5, TP.HCM","0716468703","TOAN","Bảo lưu kết quả học tập"
"20A736913","Bùi Ngọc Linh","0","2001-11-20","TP. Đà Nẵng","0702904882","TOAN","Đang học"
"20A769484","Nguyễn Thị Bình","1","2001-11-10","TP. Thủ Đức","0319278909","KHKT","Đã thôi học"
"20A660384","Phan Hữu Vy","1","2005-03-01","TP. Cần Thơ","0797050798","SINH","Bảo lưu kết quả học tập"
"20A665118","Lê Minh Nam","0","2004-07-04","Q.1, TP.HCM","0694412659","VATLY","Đã thôi học"
"20A840081","Đặng Minh Dũng","1","2003-07-31","TP. Hà Nội","0261240169","SINH","Đang học"
"20A870082","Đặng Gia Nam","1","2006-04-16","TP. Cần Thơ","0268386061","TOAN","Đang học"
"20A207652","Đặng Ngọc Trang","0","2006-09-27","TP. Vũng Tàu","0583610160","KHKT","Đã tốt nghiệp"
"20A506562","Phan Gia Dũng","0","2004-10-01","TP. Cần Thơ","0959810469","SINH","Đang học"
"20A952508","Lê Thị Quân","1","2001-06-08","TP. Biên Hòa","0429940980","SINH","Bảo lưu kết quả học tập"
"20A529169","Phạm Gia Tú","1","2001-09-12","Q.3, TP.HCM","0543225889","VATLY","Đã tốt nghiệp"
"20A835185","Phan Ngọc Hương","1","2007-02-01","Q.5, TP.HCM","0239071613","TOAN","Đã tốt nghiệp"
"20A947505","Phan Văn Châu","0","2003-12-05","TP. Hà Nội","0402807751","VATLY","Đã thôi học"
"20A850071","Phan Hữu Trang","0","2006-07-06","TP. Cần Thơ","0101092707","SINH","Đã tốt nghiệp"
"20A786747","Phạm Thị Linh","0","2005-10-03","Q.5, TP.HCM","0979188685","TOAN","Đang học"
"20A215055","Trần Thị Dũng","1","2002-01-17","TP. Đà Nẵng","0385088634","TOAN","Đang học"
"20A874333","Phan Anh Vy","1","2000-05-10","TP. Thủ Đức","0492424929","VATLY","Đã thôi học"
"20A928984","Phan Hữu Châu","0","2003-05-27","TP. Hà Nội","0762554825","VATLY","Đã tốt nghiệp"
"20A656166","Đặng Gia Dũng","0","2000-08-16","Q.10, TP.HCM","0570407671","TOAN","Bảo lưu kết quả học tập"
"20A414171","Nguyễn Anh Nam","0","2007-01-30","TP. Hà Nội","0478259200","CNTT","Đã tốt nghiệp"
"20A444075","Lê Ngọc Khánh","1","2007-03-03","TP. Thủ Đức","0990636953","SINH","Đã tốt nghiệp"
"20A794546","Phan Minh Vy","1","2005-07-15","Q.3, TP.HCM","0153594211","SINH","Bảo lưu kết quả học tập"
"20A432466","Phạm Gia An","1","2005-11-09","TP. Hà Nội","0697126003","CNTT","Đang học"
"20A814186","Phạm Anh Phúc","1","2005-11-02","Q.3, TP.HCM","0391416871","TOAN","Bảo lưu kết quả học tập"
"20A447175","Phạm Hữu Bình","1","2001-07-08","Q.1, TP.HCM","0449388337","CNTT","Đang học"
"20A177325","Vũ Anh Tú","0","2005-08-15","Q.5, TP.HCM","0262469732","SINH","Bảo lưu kết quả học tập"
"20A582615","Bùi Anh Hương","1","2001-06-27","Q.10, TP.HCM","0722043825","SINH","Bảo lưu kết quả học tập"
"20A510971","Phan Ngọc Châu","1","2006-07-26","TP. Cần Thơ","0305546130","HOA","Bảo lưu kết quả học tập"
"20A321443","Phan Gia Khánh","1","2002-06-10","TP. Biên Hòa","0914414775","HOA","Bảo lưu kết quả học tập"
"20A893459","Phạm Văn An","1","2007-01-24","TP. Hà Nội","0752997870","VATLY","Bảo lưu kết quả học tập"
"20A882840","Đặng Minh Linh","1","2005-05-31","Q.10, TP.HCM","0365767199","TOAN","Bảo lưu kết quả học tập"
"20A732378","Lê Minh Linh","0","2005-05-22","Q.1, TP.HCM","0388678655","HOA","Đã tốt nghiệp"
"20A845853","Hoàng Anh Dũng","0","2001-10-29","Q.5, TP.HCM","0889369582","CNTT","Đang học"
"20A765028","Đặng Hữu Vy","0","2001-10-30","TP. Vũng Tàu","0832840127","CNTT","Đã thôi học"
"20A868131","Bùi Văn Hương","0","2005-08-05","Q.10, TP.HCM","0390237994","TOAN","Đã thôi học"
"20A198645","Phan Anh Quân","1","2006-04-07","TP. Thủ Đức","0371408939","TOAN","Bảo lưu kết quả học tập"
"20A905005","Vũ Văn Tú","0","2003-05-13","TP. Đà Nẵng","0476162970","KHKT","Đang học"
"20A204881","Hoàng Minh Quân","0","2000-12-10","TP. Cần Thơ","0780204371","SINH","Đang học"
"20A938140","Trần Hữu Bình","1","2002-06-20","TP. Thủ Đức","0889346305","VATLY","Đã tốt nghiệp"
"20A279812","Bùi Hữu Phúc","0","2004-01-15","Q.10, TP.HCM","0127702448","CNTT","Đã tốt nghiệp"
"20A845650","Trần Minh An","0","2000-12-03","TP. Thủ Đức","0410922953","VATLY","Đã tốt nghiệp"
"20A328219","Hoàng Thị Khánh","1","2005-11-16","Q.1, TP.HCM","0848170793","CNTT","Đã tốt nghiệp"
"20A463124","Hoàng Ngọc Bình","1","2006-01-11","TP. Cần Thơ","0430959583","SINH","Đã tốt nghiệp"
"20A638604","Phạm Gia Nam","0","2005-09-02","TP. Cần Thơ","0830991240","VATLY","Bảo lưu kết quả học tập"
"20A378964","Hoàng Anh Hương","1","2006-09-21","TP. Thủ Đức","0426613702","CNTT","Đang học"
"20A107357","Trần Anh Vy","1","2006-10-20","Q.1, TP.HCM","0695897566","HOA","Đã thôi học"
"20A699701","Phạm Gia Khánh","0","2006-12-08","TP. Thủ Đức","0988654973","SINH","Đã tốt nghiệp"
"20A670302","Nguyễn Gia Nam","1","2004-03-01","TP. Hà Nội","0973871552","KHKT","Đã thôi học"
"20A839332","Hoàng Anh Quân","1","2003-05-07","TP. Vũng Tàu","0587785149","VATLY","Đang học"
"20A273707","Phan Gia Tú","1","2001-04-13","TP. Vũng Tàu","0942150014","HOA","Bảo lưu kết quả học tập"
"20A802718","Phạm Ngọc Trang","0","2004-05-01","TP. Hà Nội","0954961433","KHKT","Bảo lưu kết quả học tập"
"20A905206","Nguyễn Hữu Vy","1","2006-06-04","Q.3, TP.HCM","0674983564","KHKT","Đã tốt nghiệp"
"20A144099","Nguyễn Gia Quân","1","2000-11-18","Q.5, TP.HCM","0783348150","VATLY","Bảo lưu kết quả học tập"
"20A862119","Đặng Hữu Châu","1","2000-10-16","TP. Vũng Tàu","0727163328","SINH","Bảo lưu kết quả học tập"
"20A216632","Bùi Hữu Khánh","0","2000-09-08","TP. Đà Nẵng","0611575717","SINH","Đã thôi học"
"20A445991","Nguyễn Văn Dũng","1","2005-08-13","TP. Thủ Đức","0759550513","HOA","Đang học"
"20A562156","Phạm Ngọc An","1","2003-09-29","Q.10, TP.HCM","0238776507","VATLY","Đã tốt nghiệp"
"20A312524","Đặng Hữu Khánh","0","2007-01-22","TP. Đà Nẵng","0914543962","VATLY","Đã thôi học"
"20A758731","Đặng Văn Nam","0","2006-09-08","Q.3, TP.HCM","0591259414","TOAN","Bảo lưu kết quả học tập"
"20A227410","Phan Anh Hương","1","2003-02-17","Q.5, TP.HCM","0898860113","SINH","Đang học"
"20A756583","Vũ Ngọc Quân","0","2002-10-14","Q.10, TP.HCM","0651543129","VATLY","Bảo lưu kết quả học tập"
"20A426133","Trần Ngọc Khánh","0","2005-03-20","Q.5, TP.HCM","0159190415","KHKT","Bảo lưu kết quả học tập"
"20A619351","Đặng Hữu Bình","1","2004-07-09","TP. Thủ Đức","0891905817","VATLY","Đã tốt nghiệp"
"20A721166","Phan Hữu Trang","0","2006-07-17","Q.3, TP.HCM","0773080646","VATLY","Đã thôi học"
"20A553093","Trần Hữu Nam","1","2003-08-12","TP. Cần Thơ","0953929318","HOA","Đang học"
"20A503313","Lê Thị Hà","0","2000-08-20","Q.10, TP.HCM","0757979730","HOA","Bảo lưu kết quả học tập"
"20A310913","Lê Thị Bình","1","2004-02-20","TP. Đà Nẵng","0853169460","KHKT","Đã tốt nghiệp"
"20A569457","Nguyễn Ngọc Vy","1","2006-06-19","Q.3, TP.HCM","0637386693","TOAN","Đang học"
"20A331215","Hoàng Minh Hà","1","2000-05-24","TP. Hà Nội","0397082835","KHKT","Bảo lưu kết quả học tập"
"20A989180","Nguyễn Anh Hương","0","2005-10-25","TP. Thủ Đức","0540550442","SINH","Đã thôi học"
"20A687271","Trần Minh Vy","1","2005-04-24","Q.1, TP.HCM","0225868541","CNTT","Đã thôi học"
"20A848054","Đặng Anh Khánh","1","2007-02-01","TP. Vũng Tàu","0174220243","VATLY","Đang học"
"20A545054","Lê Ngọc Linh","1","2002-06-25","Q.3, TP.HCM","0748607085","KHKT","Đã tốt nghiệp"
"20A320407","Trần Hữu Dũng","1","2003-04-03","TP. Biên Hòa","0396436800","KHKT","Đã tốt nghiệp"
"20A608226","Phạm Anh Hương","1","2006-01-21","TP. Cần Thơ","0496996996","VATLY","Đã tốt nghiệp"
"20A673481","Nguyễn Văn Quân","1","2003-11-16","TP. Hà Nội","0504877520","SINH","Đã tốt nghiệp"
"20A694004","Hoàng Hữu Bình","0","2007-01-15","Q.5, TP.HCM","0400916587","VATLY","Bảo lưu kết quả học tập"
"20A833459","Bùi Văn Trang","1","2002-03-24","Q.1, TP.HCM","0771036158","CNTT","Đang học"
"20A925329","Đặng Minh Khánh","0","2005-05-13","Q.5, TP.HCM","0464052918","TOAN","Đã tốt nghiệp"
"20A685293","Lê Văn Trang","1","2001-10-18","TP. Cần Thơ","0787913566","VATLY","Đã tốt nghiệp"
"20A613545","Bùi Anh Hương","1","2005-05-11","Q.3, TP.HCM","0951798985","TOAN","Đang học"
"20A834372","Trần Thị Hà","0","2000-04-18","TP. Biên Hòa","0623731381","CNTT","Đã thôi học"
"20A477525","Lê Ngọc Tú","1","2005-04-08","TP. Biên Hòa","0152402011","KHKT","Đã tốt nghiệp"
"20A636952","Phạm Ngọc Quân","1","2006-08-06","Q.10, TP.HCM","0845297039","HOA","Bảo lưu kết quả học tập"
"20A447213","Phan Hữu Linh","0","2006-06-04","Q.3, TP.HCM","0599986727","CNTT","Đang học"
"20A980256","Phan Ngọc Trang","0","2002-12-25","TP. Thủ Đức","0188435906","TOAN","Bảo lưu kết quả học tập"
"20A569839","Bùi Hữu Quân","1","2004-06-20","TP. Vũng Tàu","0820308736","VATLY","Đã thôi học"
"20A991631","Bùi Anh Quân","0","2005-03-27","Q.3, TP.HCM","0295934954","KHKT","Đã thôi học"
"20A142290","Phạm Hữu Dũng","1","2001-06-13","Q.5, TP.HCM","0141394310","HOA","Đã thôi học"
"20A942629","Đặng Anh An","0","2005-12-19","TP. Vũng Tàu","0723950339","SINH","Đã tốt nghiệp"
"20A432786","Phạm Thị Bình","1","2001-11-23","Q.10, TP.HCM","0214378712","KHKT","Bảo lưu kết quả học tập"
"20A589276","Lê Thị Châu","0","2001-04-05","TP. Biên Hòa","0653646806","CNTT","Đã tốt nghiệp"
"20A587820","Nguyễn Minh Tú","1","2006-05-18","TP. Cần Thơ","0404857977","HOA","Đang học"
"20A288214","Phan Anh Nam","1","2003-12-04","TP. Đà Nẵng","0121459617","SINH","Đã tốt nghiệp"
"20A168046","Đặng Văn Hà","0","2007-03-27","TP. Đà Nẵng","0136006076","SINH","Bảo lưu kết quả học tập"
"20A860655","Bùi Ngọc Trang","0","2005-05-30","TP. Vũng Tàu","0236220379","CNTT","Đã thôi học"
"20A152597","Trần Gia Khánh","1","2005-09-23","Q.5, TP.HCM","0853443239","CNTT","Bảo lưu kết quả học tập"
"20A175485","Phạm Thị Bình","0","2003-01-07","TP. Biên Hòa","0402054096","TOAN","Đang học"
"20A285834","Nguyễn Minh Dũng","1","2000-11-12","TP. Vũng Tàu","0379024555","VATLY","Đã thôi học"
"20A340554","Phạm Hữu Châu","0","2002-11-20","Q.10, TP.HCM","0609439260","SINH","Bảo lưu kết quả học tập"
"20A749808","Trần Văn Hà","0","2000-12-07","Q.3, TP.HCM","0735393810","KHKT","Bảo lưu kết quả học tập"
"20A537455","Nguyễn Ngọc Linh","1","2002-07-10","Q.3, TP.HCM","0949128710","HOA","Đang học"
"20A256380","Trần Hữu Khánh","1","2002-05-20","Q.10, TP.HCM","0743640988","SINH","Đã thôi học"
"20A604075","Phan Văn Hương","0","2001-06-15","Q.5, TP.HCM","0414012664","HOA","Đã tốt nghiệp"
"20A164745","Phan Văn Tú","1","2002-04-09","Q.3, TP.HCM","0458037370","KHKT","Đã tốt nghiệp"
"20A504858","Bùi Văn Bình","1","2002-05-23","Q.1, TP.HCM","0807277874","KHKT","Đã thôi học"
"20A206220","Vũ Gia Dũng","0","2002-06-03","Q.10, TP.HCM","0964464762","HOA","Đang học"
"20A436124","Phạm Minh Bình","1","2005-08-18","Q.5, TP.HCM","0379457408","VATLY","Đang học"
"20A934497","Phạm Ngọc Bình","1","2006-12-10","Q.1, TP.HCM","0956249247","HOA","Đã thôi học"
"20A823096","Lê Văn Châu","1","2003-04-07","TP. Cần Thơ","0875295109","CNTT","Bảo lưu kết quả học tập"
"20A704934","Trần Minh Hương","0","2003-03-12","TP. Biên Hòa","0427184305","TOAN","Đã tốt nghiệp"
"20A412959","Bùi Minh Nam","1","2004-11-13","Q.3, TP.HCM","0971758518","CNTT","Đã tốt nghiệp"
"20A430310","Đặng Hữu Trang","0","2005-08-01","Q.5, TP.HCM","0301330435","CNTT","Đang học"
"20A831020","Phạm Anh Khánh","1","2001-12-10","TP. Cần Thơ","0111810386","HOA","Đã thôi học"
"20A835500","Trần Hữu An","1","2003-04-13","Q.3, TP.HCM","0622593798","HOA","Đang học"
"20A114610","Trần Gia Vy","1","2005-09-01","Q.1, TP.HCM","0164004562","SINH","Đang học"
"20A261626","Phan Minh Bình","1","2004-10-27","Q.5, TP.HCM","0159598150","HOA","Bảo lưu kết quả học tập"
"20A257643","Phan Văn Linh","0","2002-01-30","TP. Biên Hòa","0237123178","HOA","Đã thôi học"
